"rules","support","confidence","coverage","lift","count"
"{VerduraEnlatada,Cerveza} => {ComidaCongelada}",0.146,0.874251497005988,0.167,2.89487250664234,146
"{ComidaCongelada,Cerveza} => {VerduraEnlatada}",0.146,0.858823529411765,0.17,2.83440108716754,146
"{VerduraEnlatada,ComidaCongelada} => {Cerveza}",0.146,0.84393063583815,0.173,2.88030933733157,146
"{Cerveza} => {ComidaCongelada}",0.17,0.580204778156997,0.293,1.92120787469204,170
"{ComidaCongelada} => {VerduraEnlatada}",0.173,0.572847682119205,0.302,1.89058640963434,173
"{VerduraEnlatada} => {ComidaCongelada}",0.173,0.570957095709571,0.303,1.89058640963434,173
"{Cerveza} => {VerduraEnlatada}",0.167,0.569965870307167,0.293,1.88107547956161,167
"{ComidaCongelada} => {Cerveza}",0.17,0.562913907284768,0.302,1.92120787469204,170
"{VerduraEnlatada} => {Cerveza}",0.167,0.551155115511551,0.303,1.88107547956161,167
"{Dulces} => {Vino}",0.144,0.521739130434783,0.276,1.81790637782154,144
"{Vino} => {Dulces}",0.144,0.501742160278746,0.287,1.81790637782154,144
