Estacion	Altitud	EneP	EneTO	EneTM	EneTMin	FebP	FebTO	FebTM	FebTMin	MarP	MarTO	MarTM	MarTMin	AbrP	AbrTO	AbrTM	AbrTMin	MayP	MayTO	MayTM	MayTMin	JunP	JunTO	JunTM	JunTMin	JulP	JulTO	JulTM	JulTMin	AgoP	AgoTO	AgoTM	AgoTMin	SepP	SepTO	SepTM	SepTMin	OctP	OctTO	OctTM	OctTMin	NovP	NovTO	NovTM	NovTMin	DicP	DicTO	DicTM	DicTMin
16006	360.00	28.24	19.64	33.37	14.03	1.26	20.85	34.66	15.27	1.30	23.22	36.31	18.22	2.28	24.73	38.02	20.91	17.02	25.23	38.91	22.14	124.77	24.58	36.75	21.83	186.74	23.76	34.07	20.66	179.09	23.84	33.85	20.65	189.96	23.39	33.34	19.16	70.03	23.00	34.06	18.15	13.32	21.94	34.21	16.20	7.19	20.52	33.89	14.54
16007	682.00	21.48	17.37	33.84	15.49	2.60	18.59	35.44	16.70	2.08	20.44	37.17	18.00	0.45	22.50	39.00	19.72	10.76	24.83	39.35	21.83	118.20	25.20	36.57	22.74	169.82	23.84	33.80	21.84	176.45	23.61	33.84	21.67	155.37	23.38	33.25	21.66	75.95	22.92	33.92	21.07	11.58	21.00	34.22	19.07	5.05	18.50	33.45	16.67
16014	1708.00	18.94	7.08	25.02	4.26	5.88	8.24	27.01	5.27	4.34	10.04	29.43	6.95	7.35	13.20	31.23	9.70	39.22	15.99	32.02	12.22	147.84	17.63	29.57	14.62	211.14	16.70	26.05	14.10	211.14	16.26	26.23	13.76	158.73	15.68	26.55	13.21	56.30	13.24	26.69	10.29	15.15	10.21	26.43	6.87	12.15	7.90	25.43	5.07
16016	1840.00	19.47	6.32	21.31	3.76	6.36	7.92	23.29	5.16	7.07	10.02	25.27	6.93	13.23	12.59	26.89	9.02	35.37	15.02	27.86	11.48	124.14	15.46	25.52	12.81	156.74	14.87	23.57	12.37	152.27	14.62	23.66	12.16	117.99	14.34	23.50	11.96	42.87	12.47	23.32	9.42	15.27	10.01	22.69	6.66	7.32	7.34	21.52	4.41
16017	1694.00	18.04	7.04	24.59	4.78	6.55	8.39	26.61	5.99	6.82	10.79	29.29	7.84	8.10	13.92	31.76	10.51	28.21	16.90	33.38	13.45	117.75	18.31	31.13	15.38	217.28	16.65	27.77	14.45	164.73	16.33	27.38	14.08	127.32	15.82	26.87	13.60	48.64	13.28	27.00	10.73	11.46	10.30	26.56	7.57	9.05	7.76	25.19	5.38
16020	2020.00	23.90	5.24	23.45	3.07	9.13	5.97	25.07	3.91	7.29	7.18	26.98	5.01	20.28	9.69	28.57	7.25	59.89	12.15	29.27	9.75	138.48	13.90	27.18	11.63	167.00	13.18	25.76	11.33	172.89	13.09	25.99	10.96	128.64	13.08	25.44	10.95	61.44	11.07	25.59	8.82	17.70	8.04	25.05	5.75	8.62	6.11	23.65	3.92
16023	1500.00	13.76	5.24	22.09	1.44	5.18	6.41	23.46	2.58	5.43	8.58	25.52	4.36	7.44	11.94	26.90	6.64	31.56	14.69	27.97	9.28	145.92	15.14	25.92	11.21	191.92	14.52	23.39	11.44	203.86	13.97	23.08	11.19	170.73	13.35	22.75	10.76	56.23	10.68	22.72	7.58	14.70	8.44	23.12	4.09	15.41	5.92	22.24	2.22
16024	1693.00	14.54	7.17	23.39	5.62	2.86	8.72	25.47	7.22	3.19	11.22	27.93	9.64	7.71	14.08	30.16	12.36	26.01	16.82	31.82	14.80	130.38	17.69	29.27	15.81	182.19	16.49	26.25	14.75	149.30	16.18	25.94	14.53	107.61	15.44	25.53	14.00	45.85	12.87	25.55	11.25	9.57	10.10	25.08	8.45	5.49	8.13	23.88	6.56
16027	1831.00	22.26	9.81	23.30	5.86	4.73	10.90	24.92	6.87	5.05	13.22	27.81	9.26	8.13	15.34	29.58	11.06	29.76	17.41	30.67	13.15	122.88	17.82	28.29	13.95	158.84	16.46	25.72	13.39	179.21	16.28	25.40	13.24	108.06	15.91	25.34	12.91	43.99	14.63	25.18	11.09	8.58	12.86	24.95	9.22	7.25	11.25	23.44	7.05
16031	1632.00	22.97	8.42	25.06	7.08	3.92	9.55	27.14	8.21	3.44	11.69	29.42	9.84	3.90	14.49	31.43	12.18	33.45	17.58	32.50	14.53	139.20	18.53	30.15	15.95	173.10	16.78	27.11	14.92	174.31	16.33	27.13	14.64	126.57	15.81	26.98	14.20	38.60	13.73	27.27	12.01	9.75	11.06	26.98	9.48	7.87	9.32	24.78	7.78
